slug;title;description;cover_url;language;bunny_url
dilemas-de-um-amor-eterno;Dilemas de um amor Eterno;O amor eterno que prometeram se deparou com tudo que o mundo usa para testar promessas: distância, tempo, orgulho e silêncio. Os dilemas que surgiram não tinham resposta fácil — mas o amor verdadeiro raramente as tem.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1768159529722-37gitn.jpg;legendado;https://doramasplus.b-cdn.net/Dilemas%20de%20um%20amor%20Eterno.mp4
filho-do-alfa-segredo-do-amor;Filho do alfa segredo do Amor;O filho do alfa era um segredo guardado por ela com a própria vida. Quando o passado bate à porta com força de quem nunca deveria ter saído, os segredos que protegiam o amor ameaçam ser os mesmos que o destroem.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1767472535003-2x2ia.jpg;dublado;https://doramasplus.b-cdn.net/Filho%20do%20alfa%20segredo%20do%20Amor.mp4
mascarada-vinganca;Mascarada Vingança;Por trás da máscara havia uma vingança meticulosamente planejada. Cada passo dado na mascarada era um passo mais perto da justiça — mas também um passo mais perto de sentir algo que o plano nunca havia previsto.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765136029834-yhlgu.jpg;dublado;https://doramasplus.b-cdn.net/Mascarada%20Vingan%C3%A7a.mp4
retorno-do-desaparecido;Retorno do Desaparecido;Ele desapareceu sem deixar rastro. Quando retorna, as perguntas são mais do que as respostas que traz. O retorno do desaparecido vai abalar todos que ficaram — e revelar o que realmente aconteceu.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1768919910294-qjhi1t.jpg;dublado;https://doramasplus.b-cdn.net/Retorno%20do%20Desaparecido.mp4
o-preco-de-te-amar;O Preço de te Amar;Amar alguém tem um preço — e ela pagou caro demais. Agora, entre cicatrizes e recomeços, ela precisa decidir se ainda vale a pena abrir o coração para quem quase a destruiu.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764695663931-px30mr.jpg;legendado;https://doramasplus.b-cdn.net/O%20Pre%C3%A7o%20de%20te%20Amar.mp4
vinganca-de-uma-noiva-enganada;Vingança de uma Noiva Enganada;Ela foi enganada no dia mais importante da sua vida. A noiva que deveria estar de véu está agora de armadura — e a vingança que ela planejou vai ser tão memorável quanto o casamento que nunca aconteceu.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1767876684275-utyp2f.jpg;dublado;https://doramasplus.b-cdn.net/Vingan%C3%A7a%20de%20uma%20Noiva%20Enganada.mp4
voce-sabe-com-quem-esta-falando;Você Sabe com quem está Falando?;Ela perguntou com calma. A resposta vai mudar tudo. Uma história sobre identidade, poder e o momento em que alguém finalmente percebe que estava subestimando a pessoa errada.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1769783150448-tgxa9.jpg;legendado;https://doramasplus.b-cdn.net/Voc%C3%AA%20Sabe%20com%20quem%20est%C3%A1%20Falando.mp4
gravida-do-pai-da-minha-rival;Gravida do pai da minha Rival;História: Após um romance inesperado com o pai rico da sua agressora, uma estudante universitária vítima de bullying torna-se madrasta da própria rival, usando sua nova posição para se vingar de forma irresistível.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764599036625-c6ffqf.jpg;legendado;https://doramasplus.b-cdn.net/gravida%20do%20pai%20do%20meu%20rival.mp4
vinganca-secreta-do-irmao-gemeo;Vingança secreta do irmao Gemeo;"Camilo Silva fingiu sua morte há dez anos. Quando descobriu que seu irmão gêmeo, Danilo, foi assassinado pela esposa Camila e pelo primo Marcos, ele decidiu se passar pelo irmão ""ressuscitado"". Em meio a familiares perigosos, ele elaborou um plano de vingança para expor todos os segredos da família e fazer os traidores pagarem caro.";https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764694118357-yultm0c.jpg;dublado;https://doramasplus.b-cdn.net/Vingan%C3%A7a%20secreta%20do%20irmao%20Gemeo.mp4
minha-luz-alem-dele;Minha luz alem Dele;Sem sinopse;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764673037822-19foha.jpg;legendado;https://doramasplus.b-cdn.net/Minha%20luz%20alem%20Dele.mp4
o-ponto-do-ruptura-do-amor-the-breaking-point-of-love;O Ponto do ruptura do Amor The Breaking point of Love;Após sete anos de casamento, o marido de Kelly Jones, Eric Brown, continua frio e distante. Mesmo assim, Kelly encara tudo com um sorriso porque o ama profundamente. No seu aniversário, ela viaja para o exterior para ficar com Eric e a filha deles, Sophia Brown. Para sua devastação, ela descobre que Eric levou Sophia para conhecer sua meia-irmã, Bella Jones — e Sophia chega a pedir para Bella substituir Kelly como sua mãe. Completamente arrasada, Kelly finalmente desiste dele.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764672398636-kfce4.jpg;legendado;https://doramasplus.b-cdn.net/O%20Ponto%20do%20ruptura%20do%20Amor%20The%20Breaking%20point%20of%20Love.mp4
beijei-um-sapo-consegui-um-bilionario;Beijei um Sapo, Consegui um Bilionário;O beijo foi por impulso. O bilionário foi por surpresa. A transformação que veio depois foi por conta própria. Ela esperava o pior — e encontrou alguém que a fez questionar tudo o que sabia sobre julgamentos e segundas chances.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765271849106-j1hyh.jpg;dublado;https://doramasplus.b-cdn.net/Beijei%20um%20Sapo%2C%20Consegui%20um%20Bilion%C3%A1rio.mp4
quando-o-amor-cai-do-ceu;Quando o amor cai do Céu;Ela não estava procurando amor. Ele também não. Mas o acaso não pediu opinião — e quando o amor cai do céu, não tem muito o que fazer além de estender os braços e receber.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764808653626-frg3wk.jpg;legendado;https://doramasplus.b-cdn.net/Quando%20o%20amor%20cai%20do%20C%C3%A9u.mp4
meu-pobre-esposo-e-bilionario;Meu Pobre esposo é Bilionario;Stella teve uma noite com um estranho e o confundiu com o homem que a envolveu em um escândalo de prostituição, arruinando sua vida. Três anos depois, Stella se casou às pressas com um homem chamado Ethan, e os dois logo se apaixonaram. No entanto, aos poucos, Stella começou a perceber que Ethan era semelhante ao homem de três anos atrás. Para piorar, Ethan vinha escondendo de Stella que era CEO. Incapaz de aceitar a verdade, Stella decidiu se divorciar de Ethan.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764801298707-repru9.jpg;legendado;https://doramasplus.b-cdn.net/Meu%20Pobre%20esposo%20%C3%A9%20Bilionario.mp4
gravida-sem-querer-mimada-para-valer;Gravida sem querer Mimada para Valer;Desde pequena, Edna vive com sua mãe e seu padrasto após o divórcio dos pais. No entanto, o novo lar está longe de ser acolhedor: ela suporta anos de indiferença e maus-tratos do padrasto e o meio-irmão, e a situação piora após a morte da sua mãe quando o meio-irmão força Edna a trabalhar meio período em uma boate. Ela só queria sobreviver, mas acaba grávida do homem mais poderoso e agora vai ser mimada para sempre.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764802422281-l4mh6.jpeg;legendado;https://doramasplus.b-cdn.net/Gravida%20sem%20querer%20mimada%20para%20Valer.mp4
rainha-da-lingua-afiada;Rainha da Lingua Afiada;A língua dela é mais afiada que qualquer espada. Ninguém ousa enfrentá-la em palavras — mas quando aparece alguém que não se intimida, a rainha descobre que debater pode ser a forma mais perigosa de se apaixonar.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764943725661-m37e55j.jpg;dublado;https://doramasplus.b-cdn.net/Rainha%20da%20Lingua%20Afiada.mp4
noivas-trocadas;Noivas Trocadas;Na vida passada, Larissa Lima foi forçada a se casar com Ricardo Serra após um incidente. No casamento, a ex-namorada dele, Laura Lima, morreu em um acidente, fazendo Ricardo culpar e odiar Larissa.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764697955145-n8xcv.jpg;legendado;https://doramasplus.b-cdn.net/Noivas%20Trocadas.mp4
a-herdeira-foi-trocada-ao-nascer;A Herdeira foi trocada ao Nascer;No mesmo dia, duas melhores amigas dão à luz. Mas Edith, que nasceu na pobreza, troca secretamente seu bebê pelo da sua amiga CEO, na esperança de dar à sua filha uma vida de luxo. O que ela não espera é que a CEO veja tudo e troque discretamente os bebês. 18 anos depois, quando o plano de Edith está prestes a dar certo, ela descobre a chocante verdade: a filha que ela maltratou todos esses anos é sua.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764809133106-zvqmpe.jpg;dublado;https://doramasplus.b-cdn.net/A%20Herdeira%20foi%20trocada%20ao%20Nascer.mp4
uma-noite-pelo-meu-filho;Uma noite pelo meu Filho;Ela faria qualquer coisa pelo filho. Qualquer coisa. E quando a única saída disponível exige uma noite que ela nunca planejou, ela descobre que o amor de mãe não tem limite — nem moralidade que resista.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765137719892-zpfqkp.jpg;legendado;https://doramasplus.b-cdn.net/Uma%20noite%20pelo%20meu%20Filho.mp4
presos-a-um-amor-impossivel;Presos a um amor Impossivel;Eu e Evan éramos conhecidos em toda a alta sociedade de Jurinas como um casal fadado ao desastre. Nós nos amávamos e nos odiávamos, presos um ao outro numa ligação mortal. Até que, no nosso quinto aniversário de casamento, eu fui brutalmente atacada por uma invasor em casa! E ele, por causa da sua amada intocável, desligou a minha ligação de socorro…;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764805875038-itrip8.jpg;dublado;https://doramasplus.b-cdn.net/Presos%20a%20um%20amor%20Impossivel.mp4
bencao-de-cinco-mae-forte-pai-desconhecido;Benção de cinco mae forte, Pai Desconhecido;Uma garota comum salvou acidentalmente um CEO. Ninguém sabia do romance, mas sua identidade foi roubada por sua namorada interesseira. Depois, ela foi abençoada com cinco bebês! Esses bebês geniais se tornaram o estopim do amor.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764804973191-fzoa3b.jpg;dublado;https://doramasplus.b-cdn.net/Ben%C3%A7%C3%A3o%20de%20cinco%20mae%20forte%20pai%20Desconhecido.mp4
mae-bilionaria-por-acidente;Mãe Bilionaria por Acidente;Sem sinopse;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764943209117-lws9e7.jpg;legendado;https://doramasplus.b-cdn.net/M%C3%A3e%20Bilionaria%20por%20Acidente.mp4
bisavo-de-18-anos-que-restaurou-a-familia-pt-2;Bisavó de 18 anos que Restaurou a Familia PT 2;Em 1955, a Professora ​​Glória Almeida​​ faleceu inesperadamente. Para sua surpresa, ela abriu os olhos sete décadas depois, no corpo de uma adolescente de 18 anos – que tinha seu mesmo nome. Agora, seu filho, ​​Vasco Almeida​​, é um presidente de conglomerado septuagenário, e ela ganhou vários bisnetos incrivelmente bonitos​​. Ao se adaptar à nova vida, ​​Glória​​ usa sua sabedoria e habilidade para colocar esses descendentes rebeldes em ordem, descobrindo ao mesmo tempo sua própria felicidade nessa era totalmente nova.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764944303247-cqqna9.jpg;legendado;https://doramasplus.b-cdn.net/Bisav%C3%B3%20de%2018%20anos%20que%20Restaurou%20a%20Familia%20PT%202.mp4
retorno-do-deus-da-espada-escolta-mortal-jornada-de-sangue;Retorno do Deus da Espada Escolta Mortal: Jornada de Sangue;A maior agência de escolta do reino recebe uma missão especial: levar o grande traidor Diogo Garcia até à capital para ser executado.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764944870880-xsfa3p.jpg;dublado;https://doramasplus.b-cdn.net/Retorno%20do%20Deus%20da%20Espada%20Escolta%20Mortal%2C%20Jornada%20de%20Sangue.mp4
papai-esqueceu-mas-a-mamae-lembra;Papai esqueceu mas a Mamãe Lembra;Ele esqueceu tudo. Ela lembra de cada detalhe. Entre a memória que ele perdeu e o amor que ela guardou, os dois precisam decidir se vale a pena reconstruir o que o tempo apagou.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765566644321-08yyo.jpg;legendado;https://doramasplus.b-cdn.net/Papai%20esqueceu%20mas%20a%20Mam%C3%A3e%20Lembra.mp4
